RIDAGEYR,INDFMPIR
36.0,5.0
25.0,1.9
32.0,3.82
55.0,5.0
26.0,4.55
12.0,0.49
80.0,3.28
46.0,1.05
66.0,2.09
56.0,1.09
61.0,0.02
37.0,2.63
8.0,5.0
1.0,5.0
62.0,0.74
80.0,2.57
2.0,1.65
63.0,1.6
3.0,1.62
29.0,0.77
61.0,0.75
13.0,5.0
5.0,0.79
28.0,3.77
80.0,1.98
18.0,2.61
80.0,3.55
6.0,2.7
19.0,1.49
38.0,2.41
72.0,2.46
5.0,3.69
7.0,1.22
6.0,2.48
67.0,5.0
73.0,2.73
43.0,5.0
5.397605346934028e-79,1.37
58.0,1.32
72.0,2.17
4.0,3.94
63.0,5.0
18.0,5.0
58.0,0.53
16.0,2.56
11.0,1.09
60.0,1.92
12.0,1.89
80.0,3.04
42.0,0.44
10.0,0.23
51.0,3.6
5.397605346934028e-79,5.0
29.0,4.5
36.0,0.23
8.0,0.01
33.0,0.74
52.0,5.0
61.0,5.0
62.0,3.69
8.0,0.74
17.0,0.51
5.397605346934028e-79,1.08
60.0,2.58
70.0,2.84
54.0,3.42
30.0,5.0
69.0,4.55
65.0,2.5
13.0,3.26
31.0,0.51
55.0,4.94
80.0,5.0
46.0,2.88
7.0,2.0
56.0,4.36
45.0,4.12
9.0,2.28
33.0,0.46
16.0,5.0
37.0,3.6
35.0,3.82
55.0,0.85
44.0,4.68
41.0,1.98
67.0,0.96
14.0,0.39
19.0,2.92
6.0,4.32
52.0,4.37
72.0,5.0
48.0,5.0
9.0,1.85
15.0,1.0
30.0,1.39
70.0,5.0
67.0,1.92
12.0,1.62
8.0,3.6
9.0,0.37
64.0,5.397605346934028e-79
65.0,5.0
62.0,5.0
9.0,2.43
35.0,4.21
29.0,0.11
72.0,0.56
53.0,2.34
33.0,1.41
60.0,0.79
68.0,1.29
30.0,5.0
5.0,0.61
52.0,5.0
80.0,5.0
42.0,2.53
67.0,3.77
55.0,2.18
29.0,1.03
15.0,0.65
13.0,5.0
77.0,5.0
42.0,3.02
70.0,5.0
11.0,5.0
58.0,5.0
44.0,5.0
9.0,1.26
11.0,2.26
43.0,0.75
5.0,0.8
9.0,3.85
40.0,5.0
34.0,3.47
74.0,1.01
71.0,5.0
24.0,1.92
9.0,3.16
13.0,3.54
32.0,3.09
8.0,0.97
17.0,1.09
43.0,5.0
22.0,2.33
62.0,0.71
4.0,5.0
6.0,0.73
13.0,1.71
47.0,1.08
15.0,5.0
1.0,5.0
9.0,2.15
13.0,5.0
23.0,5.397605346934028e-79
70.0,5.0
8.0,5.397605346934028e-79
43.0,2.54
1.0,4.34
30.0,2.81
77.0,5.0
17.0,2.06
12.0,0.77
54.0,1.91
15.0,3.3
55.0,5.0
75.0,5.0
4.0,1.57
7.0,5.0
4.0,3.22
7.0,0.62
29.0,1.85
23.0,2.95
66.0,5.0
43.0,5.0
71.0,4.92
59.0,1.82
80.0,5.0
23.0,3.19
1.0,2.77
45.0,5.0
19.0,0.61
11.0,0.43
31.0,0.73
35.0,5.0
67.0,5.0
66.0,2.59
68.0,1.13
29.0,5.0
54.0,3.83
56.0,5.0
8.0,3.58
11.0,3.16
57.0,5.0
2.0,3.0
63.0,2.39
25.0,3.57
60.0,1.31
5.0,4.27
17.0,0.97
32.0,2.46
1.0,0.4
35.0,5.0
2.0,0.23
38.0,1.37
69.0,4.42
10.0,0.55
10.0,5.0
24.0,5.0
19.0,2.01
72.0,1.47
53.0,0.85
2.0,4.32
12.0,0.23
70.0,2.04
43.0,2.12
9.0,1.83
4.0,5.0
80.0,1.41
51.0,1.32
39.0,0.47
44.0,2.16
19.0,1.48
15.0,1.59
12.0,3.4
3.0,1.21
37.0,0.16
5.0,4.43
8.0,3.33
6.0,0.56
52.0,5.0
15.0,0.07
21.0,5.0
18.0,0.43
11.0,0.41
39.0,4.1
24.0,3.0
60.0,1.61
77.0,1.61
7.0,2.92
2.0,3.02
36.0,5.0
13.0,5.0
9.0,0.21
5.397605346934028e-79,3.58
6.0,1.07
37.0,2.96
33.0,1.1
45.0,2.71
35.0,5.0
13.0,0.63
44.0,5.0
72.0,1.61
66.0,1.23
58.0,4.05
60.0,2.79
68.0,1.55
8.0,1.31
16.0,3.6
44.0,1.85
1.0,2.13
18.0,2.48
3.0,0.91
3.0,0.68
64.0,0.12
63.0,5.0
71.0,2.82
70.0,0.96
9.0,3.0
75.0,1.16
75.0,2.18
71.0,5.0
15.0,2.01
23.0,0.79
35.0,2.21
35.0,2.34
3.0,3.6
52.0,3.42
57.0,2.17
58.0,3.76
61.0,3.16
33.0,0.84
8.0,1.39
60.0,0.83
61.0,0.62
31.0,5.0
4.0,1.67
70.0,0.78
5.0,0.64
13.0,2.25
76.0,4.97
64.0,0.88
19.0,1.72
6.0,3.84
14.0,4.38
46.0,0.15
17.0,0.84
65.0,5.0
1.0,3.42
23.0,3.31
70.0,5.0
79.0,5.0
75.0,5.0
27.0,2.0
38.0,3.58
58.0,0.69
6.0,2.34
61.0,4.02
68.0,1.6
8.0,1.02
62.0,1.44
17.0,5.0
70.0,1.31
7.0,0.72
4.0,1.41
1.0,5.0
64.0,4.92
70.0,5.0
39.0,0.65
9.0,1.37
38.0,5.0
51.0,4.68
48.0,5.0
80.0,3.47
35.0,3.42
8.0,2.58
64.0,5.0
30.0,4.97
37.0,5.0
54.0,5.0
30.0,0.17
79.0,4.92
73.0,3.68
17.0,0.87
14.0,5.0
5.0,0.58
11.0,2.33
68.0,2.03
73.0,5.0
8.0,0.84
11.0,0.31
47.0,1.16
5.0,3.55
76.0,4.51
51.0,1.26
60.0,5.0
39.0,5.0
27.0,0.57
65.0,4.06
57.0,1.23
54.0,3.87
6.0,5.0
6.0,0.88
68.0,0.08
74.0,1.48
74.0,2.21
34.0,0.88
43.0,3.55
11.0,1.26
20.0,2.92
12.0,1.93
73.0,5.0
3.0,0.69
5.0,0.77
31.0,5.0
57.0,2.46
32.0,1.3
16.0,4.62
69.0,1.46
70.0,3.55
71.0,1.44
16.0,0.46
26.0,1.48
4.0,2.56
71.0,3.61
32.0,5.0
79.0,1.12
30.0,5.0
65.0,5.0
5.0,1.25
72.0,5.0
61.0,0.62
11.0,0.87
4.0,1.8
8.0,1.68
32.0,5.0
10.0,2.31
9.0,2.48
55.0,4.02
77.0,5.0
46.0,3.3
51.0,1.47
80.0,2.43
56.0,2.51
65.0,5.0
39.0,5.0
39.0,0.89
76.0,2.78
1.0,5.0
59.0,5.0
43.0,1.23
9.0,0.37
62.0,5.0
15.0,2.78
46.0,4.48
10.0,0.02
24.0,0.52
31.0,5.0
79.0,0.16
80.0,1.84
14.0,0.27
65.0,5.0
65.0,0.31
80.0,1.47
72.0,1.65
37.0,5.0
54.0,3.94
63.0,3.55
21.0,0.74
80.0,2.58
58.0,5.0
64.0,5.0
7.0,0.43
58.0,1.6
31.0,2.07
58.0,2.11
12.0,1.42
65.0,5.0
29.0,3.31
75.0,5.0
16.0,4.33
24.0,2.83
35.0,3.42
80.0,2.48
16.0,1.52
54.0,5.397605346934028e-79
70.0,4.12
56.0,2.15
67.0,3.19
75.0,1.77
65.0,2.06
58.0,5.0
64.0,2.33
2.0,1.56
12.0,1.18
12.0,5.0
40.0,4.0
39.0,2.54
80.0,2.92
15.0,1.04
2.0,3.56
58.0,5.0
23.0,5.0
63.0,4.56
22.0,0.01
38.0,0.14
64.0,1.4
18.0,0.38
80.0,0.65
8.0,2.34
15.0,1.61
5.0,1.0
60.0,3.42
64.0,3.0
74.0,1.37
61.0,5.0
65.0,2.61
51.0,2.16
5.0,1.52
66.0,0.41
2.0,4.02
9.0,1.31
18.0,3.09
28.0,0.87
77.0,2.36
75.0,1.75
11.0,0.06
17.0,1.17
6.0,1.34
26.0,5.0
64.0,1.47
9.0,0.81
23.0,1.74
28.0,4.19
3.0,1.71
15.0,1.05
71.0,5.397605346934028e-79
67.0,2.8
42.0,5.0
56.0,5.0
69.0,3.31
65.0,4.18
4.0,0.52
36.0,5.0
79.0,5.0
66.0,4.06
58.0,5.0
15.0,3.28
29.0,3.24
19.0,1.99
2.0,5.0
40.0,2.17
19.0,3.6
42.0,0.48
68.0,5.0
6.0,5.0
25.0,1.44
6.0,0.68
23.0,1.3
18.0,4.0
75.0,1.71
15.0,5.397605346934028e-79
70.0,2.06
5.397605346934028e-79,1.01
26.0,5.0
60.0,5.0
57.0,3.0
4.0,2.69
15.0,1.37
5.0,2.17
80.0,0.82
70.0,3.71
10.0,0.97
68.0,0.82
70.0,1.94
16.0,1.34
67.0,3.04
8.0,0.66
10.0,4.45
66.0,2.07
16.0,0.01
59.0,0.91
69.0,5.0
63.0,4.66
14.0,5.0
38.0,5.0
76.0,4.88
37.0,2.83
78.0,1.49
69.0,5.0
17.0,0.99
39.0,1.77
77.0,5.0
80.0,4.73
67.0,3.12
61.0,5.0
54.0,3.68
69.0,5.0
80.0,0.95
71.0,2.21
65.0,1.12
63.0,1.77
45.0,1.52
5.0,5.0
4.0,3.42
62.0,1.13
13.0,1.74
66.0,4.95
9.0,0.97
45.0,2.82
69.0,2.21
10.0,0.63
61.0,2.98
37.0,5.0
69.0,2.31
43.0,5.0
12.0,0.58
12.0,0.58
12.0,0.88
28.0,3.41
64.0,5.0
80.0,4.97
1.0,1.97
40.0,5.0
9.0,0.91
21.0,5.0
5.0,4.31
80.0,0.69
55.0,5.0
28.0,2.19
61.0,0.03
34.0,2.92
9.0,5.0
80.0,2.87
52.0,4.56
55.0,5.0
6.0,5.0
31.0,0.58
46.0,5.0
19.0,1.32
68.0,5.0
67.0,2.19
55.0,4.8
24.0,4.34
80.0,5.0
17.0,0.96
24.0,2.94
11.0,5.0
71.0,0.75
5.397605346934028e-79,4.43
63.0,3.69
75.0,5.0
13.0,1.25
8.0,2.88
61.0,5.0
43.0,3.96
11.0,1.99
48.0,5.0
67.0,4.56
55.0,5.0
60.0,0.57
14.0,2.48
5.397605346934028e-79,3.55
2.0,1.05
63.0,1.03
80.0,4.92
45.0,2.0
11.0,1.08
33.0,3.47
66.0,0.77
56.0,1.51
69.0,4.37
9.0,5.0
48.0,0.35
80.0,1.5
9.0,5.0
58.0,3.3
68.0,5.0
70.0,1.62
32.0,2.61
33.0,1.17
5.397605346934028e-79,1.01
15.0,2.46
19.0,1.89
7.0,1.37
30.0,2.06
6.0,1.4
13.0,1.21
69.0,3.39
66.0,3.57
57.0,5.0
66.0,5.0
58.0,5.0
58.0,0.66
80.0,2.73
11.0,4.86
76.0,5.0
51.0,5.0
3.0,4.46
65.0,2.62
5.0,4.32
7.0,4.5
74.0,3.06
58.0,0.74
5.397605346934028e-79,5.0
44.0,3.15
19.0,5.0
15.0,0.91
65.0,0.88
38.0,5.0
36.0,2.17
60.0,3.02
8.0,5.0
19.0,2.31
5.0,1.65
14.0,1.37
11.0,5.0
44.0,5.0
5.0,1.08
62.0,4.56
78.0,4.46
9.0,0.58
41.0,0.72
57.0,0.99
39.0,5.397605346934028e-79
16.0,0.82
3.0,5.0
52.0,5.0
39.0,5.0
5.397605346934028e-79,0.27
11.0,5.0
5.0,5.0
79.0,2.58
21.0,0.37
34.0,1.6
55.0,5.0
62.0,1.1
12.0,1.01
17.0,0.38
8.0,0.12
80.0,2.16
59.0,1.92
6.0,4.27
13.0,1.55
60.0,5.0
80.0,0.81
54.0,0.49
9.0,1.15
13.0,1.94
73.0,5.0
36.0,2.41
15.0,5.0
71.0,3.43
28.0,1.37
69.0,0.81
68.0,5.0
71.0,4.06
13.0,1.85
15.0,5.0
80.0,3.04
5.0,0.97
42.0,5.0
57.0,0.4
54.0,5.0
5.397605346934028e-79,3.36
66.0,5.0
71.0,5.0
39.0,4.46
11.0,5.0
5.0,1.85
4.0,5.0
63.0,1.86
40.0,5.0
12.0,1.57
2.0,0.94
76.0,5.0
61.0,4.92
41.0,5.0
63.0,2.85
8.0,2.85
47.0,5.0
53.0,4.82
7.0,5.0
63.0,3.82
40.0,5.0
78.0,1.34
5.0,5.0
61.0,0.88
55.0,5.0
16.0,5.0
43.0,3.0
40.0,1.2
75.0,5.0
15.0,1.14
63.0,5.0
49.0,5.0
42.0,0.82
4.0,2.3
80.0,4.05
9.0,0.43
46.0,1.15
59.0,3.55
73.0,2.58
4.0,0.66
51.0,3.16
47.0,2.62
67.0,5.0
14.0,0.69
22.0,5.0
15.0,1.42
79.0,1.14
4.0,1.03
77.0,2.36
80.0,0.76
4.0,1.44
55.0,5.0
41.0,1.91
77.0,1.14
5.397605346934028e-79,2.16
3.0,3.58
69.0,3.28
67.0,0.8
17.0,0.88
63.0,5.0
26.0,2.21
78.0,2.61
6.0,0.81
80.0,5.0
7.0,0.43
12.0,5.397605346934028e-79
79.0,0.1
18.0,0.44
71.0,2.57
69.0,5.0
60.0,5.0
66.0,1.88
13.0,1.19
58.0,0.69
1.0,0.79
32.0,3.67
70.0,2.71
49.0,4.33
3.0,5.0
45.0,5.0
62.0,1.09
57.0,3.43
48.0,5.0
18.0,0.99
58.0,4.78
19.0,0.37
59.0,5.0
51.0,0.46
9.0,0.61
7.0,1.42
13.0,0.77
39.0,5.0
5.0,1.74
4.0,0.03
13.0,1.26
68.0,1.01
18.0,0.11
45.0,5.0
5.397605346934028e-79,1.67
5.0,5.0
36.0,5.0
4.0,0.5
29.0,5.0
37.0,5.397605346934028e-79
5.397605346934028e-79,5.0
5.0,5.0
31.0,2.74
43.0,3.42
43.0,2.09
71.0,1.32
38.0,1.34
9.0,3.13
13.0,2.05
54.0,5.0
37.0,3.11
32.0,1.73
43.0,5.0
43.0,4.46
49.0,3.45
14.0,0.89
5.397605346934028e-79,0.9
17.0,1.87
58.0,2.03
80.0,1.85
56.0,5.0
73.0,4.64
48.0,4.04
8.0,4.18
43.0,4.9
37.0,0.89
23.0,5.0
4.0,0.92
39.0,0.76
77.0,5.397605346934028e-79
5.0,5.0
67.0,4.31
48.0,5.0
17.0,1.91
13.0,2.88
68.0,2.03
2.0,5.0
80.0,4.64
65.0,1.34
13.0,1.67
35.0,3.34
9.0,0.8
80.0,5.0
10.0,0.7
65.0,3.77
23.0,0.08
55.0,2.15
17.0,4.02
80.0,1.25
50.0,1.83
50.0,3.04
76.0,1.31
74.0,3.55
33.0,0.78
19.0,2.57
54.0,5.0
68.0,1.55
45.0,5.0
38.0,2.01
43.0,5.0
22.0,1.85
25.0,5.0
77.0,0.69
2.0,0.84
10.0,5.0
24.0,0.03
6.0,2.77
7.0,1.41
45.0,0.43
4.0,0.92
79.0,5.0
34.0,5.0
22.0,0.58
62.0,5.0
71.0,1.86
52.0,5.0
11.0,0.17
73.0,1.4
72.0,3.19
11.0,0.77
30.0,5.0
10.0,1.74
80.0,1.19
14.0,3.0
39.0,1.87
58.0,0.66
9.0,3.96
12.0,1.17
62.0,1.64
62.0,0.8
68.0,1.29
63.0,0.53
56.0,5.0
65.0,0.65
29.0,0.94
68.0,3.87
50.0,5.0
14.0,1.85
80.0,5.0
12.0,1.05
46.0,1.41
4.0,0.2
69.0,1.32
18.0,1.29
80.0,1.47
11.0,0.99
37.0,4.13
75.0,3.55
21.0,2.39
34.0,1.97
49.0,2.78
21.0,2.4
37.0,4.33
58.0,5.0
79.0,1.38
5.397605346934028e-79,3.58
66.0,3.42
38.0,1.3
60.0,1.69
2.0,2.27
5.397605346934028e-79,0.07
80.0,3.09
9.0,4.4
19.0,0.93
67.0,4.46
80.0,3.43
10.0,4.9
69.0,4.32
29.0,5.0
71.0,5.0
66.0,3.43
2.0,5.0
7.0,0.48
40.0,5.0
60.0,0.03
16.0,5.0
56.0,5.0
10.0,2.17
75.0,3.16
64.0,2.19
75.0,1.78
15.0,1.49
17.0,0.35
66.0,1.55
38.0,5.0
34.0,0.72
62.0,1.77
5.0,0.8
13.0,5.0
30.0,1.72
38.0,1.4
12.0,3.6
57.0,5.0
56.0,3.09
62.0,2.21
1.0,1.38
74.0,2.18
69.0,5.0
64.0,3.28
42.0,0.11
1.0,5.0
10.0,2.11
5.0,3.72
80.0,0.71
49.0,4.35
17.0,1.14
36.0,1.12
54.0,1.8
20.0,1.1
60.0,1.9
71.0,5.0
12.0,1.37
14.0,0.76
54.0,4.75
16.0,1.54
49.0,2.28
5.0,1.42
18.0,3.38
57.0,5.0
15.0,2.77
40.0,1.67
62.0,3.43
73.0,2.61
50.0,2.87
44.0,5.0
64.0,1.2
54.0,5.0
30.0,5.0
67.0,0.79
70.0,1.52
58.0,0.88
21.0,0.45
61.0,5.0
28.0,0.6
6.0,4.14
5.397605346934028e-79,5.0
11.0,1.06
14.0,0.48
3.0,0.23
35.0,0.88
10.0,1.98
11.0,1.08
9.0,2.98
67.0,0.78
58.0,0.06
33.0,5.0
17.0,2.83
4.0,5.0
21.0,3.47
8.0,5.0
74.0,1.55
34.0,0.34
60.0,2.31
2.0,1.3
8.0,5.0
35.0,5.0
56.0,0.69
47.0,0.86
16.0,1.46
63.0,3.91
15.0,0.04
55.0,0.74
55.0,0.77
72.0,1.27
67.0,3.0
64.0,1.37
59.0,5.0
56.0,2.13
5.0,0.65
7.0,1.3
12.0,1.13
66.0,4.0
10.0,3.69
68.0,0.88
4.0,5.0
62.0,0.84
27.0,2.21
68.0,3.96
73.0,4.34
39.0,0.49
43.0,3.15
7.0,1.14
12.0,0.46
17.0,3.6
2.0,1.14
19.0,0.97
80.0,2.65
10.0,4.11
70.0,5.0
40.0,5.0
24.0,1.8
6.0,5.0
33.0,2.56
58.0,5.0
74.0,2.18
60.0,2.92
68.0,1.51
19.0,5.0
72.0,1.93
27.0,1.47
31.0,0.86
27.0,0.23
56.0,0.72
17.0,0.34
5.397605346934028e-79,2.41
19.0,5.0
3.0,0.96
36.0,1.48
12.0,0.84
60.0,0.27
56.0,1.37
45.0,3.0
24.0,1.61
65.0,4.78
5.397605346934028e-79,0.35
70.0,1.88
36.0,3.38
42.0,1.37
73.0,1.38
74.0,0.9
13.0,2.08
80.0,5.0
15.0,1.95
50.0,1.82
65.0,2.05
22.0,1.03
14.0,4.41
39.0,5.0
2.0,1.61
19.0,2.46
66.0,0.89
12.0,0.97
14.0,3.84
31.0,0.58
1.0,0.17
24.0,4.32
68.0,5.0
19.0,2.18
57.0,0.29
31.0,0.68
69.0,5.0
70.0,3.08
70.0,1.09
39.0,3.42
31.0,2.92
66.0,2.84
71.0,0.06
14.0,4.11
2.0,1.37
9.0,1.99
40.0,2.42
34.0,2.5
39.0,1.06
44.0,5.0
38.0,5.0
54.0,3.11
77.0,5.0
57.0,1.47
59.0,3.04
11.0,0.47
49.0,5.0
51.0,1.09
40.0,5.0
9.0,2.68
76.0,3.9
23.0,1.61
80.0,1.58
73.0,4.59
6.0,3.87
5.397605346934028e-79,0.92
29.0,5.0
8.0,1.41
3.0,5.0
30.0,5.0
8.0,5.0
46.0,3.47
67.0,2.43
6.0,2.61
67.0,5.0
40.0,2.06
62.0,4.44
5.397605346934028e-79,0.86
1.0,3.96
21.0,1.84
74.0,4.37
15.0,2.39
29.0,5.0
34.0,0.03
66.0,1.31
2.0,4.73
74.0,3.49
7.0,2.09
5.397605346934028e-79,1.14
54.0,1.4
2.0,1.82
61.0,5.0
15.0,4.32
13.0,0.01
4.0,2.5
69.0,2.87
70.0,1.64
16.0,1.37
1.0,1.3
20.0,1.41
56.0,2.5
49.0,5.0
74.0,3.0
12.0,0.05
62.0,5.0
35.0,1.46
50.0,2.65
11.0,1.57
4.0,1.54
61.0,4.81
36.0,1.3
5.397605346934028e-79,0.43
37.0,0.8
71.0,5.0
7.0,2.31
34.0,1.71
78.0,3.26
3.0,3.38
65.0,1.3
72.0,4.67
46.0,3.26
12.0,2.06
10.0,3.54
64.0,0.78
14.0,5.0
80.0,3.68
63.0,5.397605346934028e-79
10.0,0.56
46.0,2.05
43.0,2.03
34.0,4.0
10.0,2.7
15.0,3.0
5.397605346934028e-79,5.0
8.0,4.32
80.0,2.74
7.0,5.0
7.0,4.14
5.397605346934028e-79,2.61
53.0,2.65
80.0,3.93
42.0,3.53
22.0,0.15
68.0,2.74
11.0,5.0
40.0,3.26
45.0,2.69
80.0,5.0
44.0,1.99
13.0,0.05
15.0,3.02
9.0,0.46
23.0,2.16
12.0,3.28
64.0,1.62
37.0,5.0
72.0,5.0
12.0,2.42
59.0,2.73
58.0,1.84
65.0,5.0
18.0,3.42
23.0,0.34
23.0,0.26
3.0,2.15
39.0,2.43
14.0,5.0
2.0,0.77
41.0,2.2
32.0,1.91
70.0,2.79
13.0,0.62
19.0,5.0
15.0,1.17
13.0,1.09
48.0,5.0
9.0,5.0
4.0,5.0
80.0,2.3
52.0,1.58
43.0,4.33
69.0,4.56
59.0,5.0
63.0,5.0
5.397605346934028e-79,0.83
14.0,5.0
5.0,1.74
9.0,3.96
65.0,5.0
80.0,1.52
74.0,0.99
18.0,1.23
22.0,4.3
50.0,1.14
5.397605346934028e-79,0.67
54.0,0.82
17.0,0.62
34.0,0.9
76.0,1.1
30.0,5.0
80.0,0.43
8.0,5.0
15.0,0.87
16.0,5.0
12.0,5.0
53.0,3.67
9.0,0.86
53.0,5.0
67.0,5.0
73.0,2.74
1.0,0.81
57.0,0.26
4.0,0.91
51.0,3.88
43.0,4.25
6.0,0.23
13.0,4.27
76.0,3.11
70.0,3.0
29.0,5.0
54.0,0.83
8.0,1.37
14.0,1.51
70.0,3.8
61.0,0.02
35.0,2.57
71.0,5.0
80.0,4.05
51.0,4.64
63.0,1.42
14.0,1.97
67.0,5.0
3.0,1.12
55.0,3.43
51.0,5.0
58.0,2.21
24.0,1.99
74.0,4.05
66.0,5.0
65.0,3.09
38.0,1.26
68.0,5.0
37.0,1.04
42.0,4.13
61.0,1.62
18.0,5.0
2.0,1.86
8.0,3.33
59.0,3.27
55.0,2.03
13.0,1.95
63.0,5.0
49.0,5.0
80.0,1.64
14.0,4.62
62.0,2.34
80.0,0.98
75.0,5.0
30.0,5.0
18.0,5.0
65.0,5.0
49.0,3.6
41.0,5.0
77.0,5.0
18.0,5.0
55.0,0.1
67.0,3.91
62.0,2.73
11.0,0.58
11.0,1.85
17.0,3.04
76.0,4.8
38.0,3.02
78.0,2.58
6.0,1.21
71.0,4.06
54.0,5.0
15.0,0.27
63.0,1.39
70.0,5.0
35.0,1.85
10.0,0.86
40.0,1.51
7.0,3.0
75.0,3.8
43.0,1.62
73.0,5.0
77.0,2.32
80.0,1.16
3.0,0.27
5.397605346934028e-79,0.64
14.0,1.02
70.0,4.78
37.0,2.17
57.0,4.67
59.0,5.0
59.0,1.69
2.0,1.44
28.0,3.02
73.0,1.67
15.0,3.67
32.0,5.0
80.0,2.58
3.0,5.0
15.0,1.01
67.0,5.0
37.0,4.02
80.0,1.72
14.0,1.76
80.0,0.71
80.0,4.06
70.0,3.44
29.0,3.04
14.0,1.32
46.0,3.0
42.0,1.26
45.0,1.34
80.0,1.6
65.0,2.05
11.0,0.58
74.0,1.03
25.0,2.54
78.0,3.55
4.0,1.49
80.0,3.14
61.0,0.55
9.0,0.1
11.0,3.33
75.0,2.62
69.0,2.33
54.0,1.23
6.0,4.33
11.0,1.78
70.0,4.01
20.0,1.65
70.0,4.64
51.0,1.18
71.0,5.0
68.0,5.0
80.0,1.64
19.0,5.0
37.0,4.93
70.0,4.37
52.0,5.0
57.0,1.61
60.0,0.85
62.0,3.42
39.0,0.09
42.0,3.55
7.0,1.23
8.0,1.69
80.0,1.03
7.0,0.42
36.0,2.33
33.0,5.0
19.0,4.12
49.0,5.0
67.0,5.0
36.0,5.0
14.0,1.32
1.0,1.23
59.0,4.37
50.0,1.14
36.0,4.22
15.0,3.42
3.0,0.78
25.0,5.0
74.0,1.9
63.0,0.01
35.0,5.0
2.0,5.0
80.0,5.0
31.0,1.79
52.0,3.53
57.0,3.69
16.0,1.48
67.0,5.0
71.0,3.3
53.0,4.21
17.0,2.73
58.0,5.0
72.0,5.0
18.0,5.397605346934028e-79
50.0,3.52
25.0,2.92
46.0,5.0
3.0,2.68
23.0,4.34
32.0,2.77
18.0,1.39
41.0,5.0
80.0,3.6
42.0,1.24
41.0,1.71
55.0,2.58
62.0,5.0
13.0,4.93
27.0,1.37
46.0,1.37
38.0,2.58
71.0,1.77
44.0,5.0
15.0,1.37
8.0,2.22
14.0,0.73
19.0,3.13
71.0,5.0
6.0,3.4
61.0,5.0
26.0,5.0
72.0,4.72
12.0,3.36
20.0,1.13
44.0,3.23
2.0,1.26
57.0,5.0
14.0,1.9
74.0,5.0
73.0,1.72
4.0,1.46
14.0,3.13
38.0,2.75
73.0,3.65
44.0,3.19
44.0,3.22
30.0,5.0
8.0,0.92
48.0,1.57
61.0,0.51
64.0,3.65
15.0,5.0
30.0,0.45
10.0,2.54
33.0,5.0
43.0,1.52
63.0,3.99
3.0,3.53
27.0,0.96
13.0,0.63
15.0,2.74
52.0,1.58
72.0,2.23
5.397605346934028e-79,0.87
75.0,1.03
53.0,0.63
40.0,2.81
43.0,2.73
5.0,1.61
25.0,3.69
61.0,2.98
60.0,4.1
62.0,1.9
16.0,0.65
3.0,2.25
64.0,5.0
17.0,0.35
5.397605346934028e-79,0.58
12.0,2.08
61.0,3.55
41.0,3.38
72.0,5.0
11.0,3.0
69.0,0.57
31.0,2.26
31.0,5.0
32.0,0.62
4.0,1.77
37.0,5.0
61.0,1.41
42.0,4.68
11.0,2.69
19.0,0.01
19.0,3.24
37.0,2.26
55.0,2.95
63.0,5.0
74.0,2.4
61.0,4.37
38.0,1.29
80.0,1.09
60.0,5.0
15.0,1.54
5.0,0.68
13.0,0.3
76.0,1.16
6.0,0.83
73.0,0.71
70.0,3.31
57.0,0.98
7.0,3.7
51.0,4.49
80.0,2.74
17.0,0.91
20.0,0.66
55.0,5.0
59.0,3.7
15.0,2.52
69.0,1.72
21.0,4.0
67.0,2.86
19.0,0.68
64.0,0.98
67.0,5.0
72.0,5.0
59.0,5.0
13.0,0.3
14.0,1.42
61.0,1.03
64.0,5.0
70.0,5.0
61.0,0.83
46.0,5.0
50.0,5.0
62.0,5.0
15.0,5.0
5.397605346934028e-79,2.4
68.0,1.37
37.0,1.09
9.0,5.0
49.0,1.62
29.0,5.0
15.0,4.22
80.0,3.28
3.0,0.98
14.0,2.34
14.0,5.0
29.0,2.72
63.0,0.49
11.0,5.0
66.0,2.62
38.0,0.74
53.0,2.41
75.0,5.0
61.0,5.0
71.0,3.28
1.0,2.77
28.0,3.6
5.397605346934028e-79,2.16
52.0,3.02
65.0,2.03
69.0,4.64
10.0,2.73
10.0,2.28
41.0,1.12
42.0,1.02
50.0,0.63
1.0,5.0
17.0,0.82
10.0,4.27
76.0,1.37
74.0,2.87
35.0,5.0
15.0,3.0
68.0,4.82
52.0,5.0
76.0,5.0
80.0,1.47
52.0,2.72
77.0,2.18
56.0,5.0
51.0,5.0
74.0,1.69
17.0,2.74
33.0,5.0
74.0,3.16
9.0,0.48
6.0,5.0
80.0,1.86
67.0,5.0
7.0,2.77
69.0,1.51
39.0,5.0
65.0,5.0
50.0,3.42
15.0,5.0
33.0,4.8
58.0,1.59
44.0,3.08
75.0,5.0
58.0,0.88
80.0,3.26
77.0,5.0
17.0,3.87
3.0,1.07
75.0,4.0
9.0,0.39
65.0,5.0
8.0,1.05
70.0,2.59
2.0,5.0
16.0,0.94
58.0,3.55
15.0,4.22
57.0,4.56
68.0,3.0
60.0,5.0
13.0,3.47
33.0,2.0
43.0,1.18
62.0,3.01
72.0,4.16
16.0,5.0
18.0,1.24
35.0,2.37
14.0,5.0
20.0,0.29
69.0,5.0
30.0,3.26
65.0,5.0
32.0,5.0
13.0,2.82
57.0,1.71
39.0,0.93
35.0,3.75
9.0,0.52
15.0,3.0
64.0,3.47
23.0,0.49
46.0,5.0
2.0,2.16
5.0,0.77
12.0,0.45
56.0,5.0
68.0,2.4
44.0,5.0
38.0,3.69
21.0,0.66
